,age,male,educ,hhsize,hhveh,hhinc,auto_time,auto_cost,train_time,train_cost,active_time,mode
2632,20,1,2,2,1,1,10.75,9.051666666666666,43.93333333333333,2.308333333333333,58.18333333333333,0
2633,20,1,2,2,1,1,7.6,5.817333333333334,45.11666666666667,2.2333333333333334,32.00833333333333,1
2634,20,1,2,2,1,1,9.95,5.392333333333333,37.7,2.6333333333333333,40.59166666666667,0
2635,20,1,2,2,1,1,8.166666666666666,5.817333333333334,46.56666666666667,2.2416666666666667,30.05,0
2636,20,1,2,2,1,1,8.666666666666666,5.844,30.0,2.691666666666667,37.608333333333334,1
2637,47,1,6,3,2,10,9.333333333333334,5.885666666666667,43.416666666666664,2.5833333333333335,39.625,0
2638,47,1,6,3,2,10,6.133333333333334,6.572333333333333,18.266666666666666,2.4833333333333334,12.399999999999999,0
2639,47,1,6,3,2,10,6.8,6.629,14.95,2.4916666666666667,15.733333333333334,0
2640,47,1,6,3,2,10,9.233333333333333,4.864,27.833333333333332,2.25,25.2,1
2641,47,1,6,3,2,10,5.366666666666666,6.572333333333334,16.183333333333334,2.4833333333333334,11.4,2
2642,47,1,6,3,2,10,5.883333333333334,6.489,23.433333333333334,2.5,16.05,0
2643,47,1,6,3,2,10,12.966666666666667,6.5006666666666675,44.333333333333336,2.591666666666667,41.85,0
2644,47,1,6,3,2,10,13.3,6.567333333333332,32.6,2.65,44.56666666666667,0
2645,47,1,6,3,2,10,9.683333333333334,6.035333333333332,16.166666666666668,2.441666666666667,37.516666666666666,0
2646,47,1,6,3,2,10,33.5,17.624333333333336,149.86666666666667,3.33,177.73333333333332,0
2647,47,1,6,3,2,10,3.466666666666667,6.572333333333334,17.25,2.4833333333333334,11.308333333333334,0
2648,47,1,6,3,2,10,14.666666666666666,6.495333333333332,39.5,2.4916666666666667,50.775,0
2649,47,1,6,3,2,10,42.78333333333333,16.849333333333334,193.7,3.5716666666666668,399.56666666666666,0
2650,47,1,6,3,2,10,6.65,5.284000000000001,47.31666666666667,2.2416666666666667,31.06666666666667,0
2651,47,1,6,3,2,10,28.516666666666666,18.161,154.0,3.6383333333333336,257.7916666666667,0
2652,47,1,6,3,2,10,9.683333333333334,5.829000000000001,36.9,2.7416666666666667,39.44166666666666,0
2653,48,0,6,3,2,10,5.366666666666666,6.572333333333334,16.183333333333334,2.4833333333333334,11.4,2
2654,48,0,6,3,2,10,5.883333333333334,6.489,23.433333333333334,2.5,16.05,0
2655,48,0,6,3,2,10,3.4833333333333334,6.572333333333333,17.383333333333333,2.4833333333333334,11.2,0
2656,48,0,6,3,2,10,3.466666666666667,6.572333333333334,17.25,2.4833333333333334,11.308333333333334,0
2657,48,0,6,3,2,10,4.183333333333334,6.572333333333334,12.466666666666667,2.408333333333333,8.025,0
2658,48,0,6,3,2,10,7.166666666666667,6.217333333333333,20.333333333333332,2.575,21.43333333333333,0
2659,48,0,6,3,2,10,4.116666666666666,6.572333333333333,20.266666666666666,2.4833333333333334,13.216666666666667,0
2660,48,0,6,3,2,10,4.883333333333334,6.572333333333334,12.983333333333333,2.408333333333333,9.175,2
2661,48,0,6,3,2,10,28.733333333333334,17.569333333333333,76.96666666666667,3.0716666666666668,200.10000000000002,0
2662,48,0,6,3,2,10,32.1,18.299333333333333,77.41666666666667,3.0716666666666668,209.05,2
2663,14,0,1,3,2,10,5.366666666666666,6.572333333333334,16.183333333333334,2.4833333333333334,11.4,2
2664,14,0,1,3,2,10,5.883333333333334,6.489,23.433333333333334,2.5,16.05,0
2665,14,0,1,3,2,10,3.4833333333333334,6.572333333333333,17.383333333333333,2.4833333333333334,11.2,0
